[2023-03-08 20:20:45,870][demo3.py][line:280][INFO] Epoch:[2/12]	 step:[50] 	 loss=0.81350	 accu=0.654 	 auc=0.906
[2023-03-08 20:20:45,968][demo3.py][line:280][INFO] Epoch:[2/13]	 step:[50] 	 loss=0.81276	 accu=0.653 	 auc=0.917
[2023-03-08 20:20:46,071][demo3.py][line:280][INFO] Epoch:[2/14]	 step:[50] 	 loss=0.81502	 accu=0.644 	 auc=0.914
[2023-03-08 20:20:54,621][demo3.py][line:287][INFO] 测试 Epoch:[2/50]	 loss=0.80725	 accu=0.665 auc=0.774
[2023-03-08 20:20:58,873][demo3.py][line:280][INFO] Epoch:[3/0]	 step:[50] 	 loss=0.80416	 accu=0.672 	 auc=0.924
[2023-03-08 20:20:58,973][demo3.py][line:280][INFO] Epoch:[3/1]	 step:[50] 	 loss=0.81547	 accu=0.640 	 auc=0.906
[2023-03-08 20:20:59,081][demo3.py][line:280][INFO] Epoch:[3/2]	 step:[50] 	 loss=0.81280	 accu=0.648 	 auc=0.911
[2023-03-08 20:20:59,269][demo3.py][line:280][INFO] Epoch:[3/3]	 step:[50] 	 loss=0.80123	 accu=0.678 	 auc=0.918
[2023-03-08 20:20:59,292][demo3.py][line:280][INFO] Epoch:[3/4]	 step:[50] 	 loss=0.80520	 accu=0.668 	 auc=0.917
[2023-03-08 20:20:59,466][demo3.py][line:280][INFO] Epoch:[3/5]	 step:[50] 	 loss=0.81338	 accu=0.650 	 auc=0.906
[2023-03-08 20:20:59,568][demo3.py][line:280][INFO] Epoch:[3/6]	 step:[50] 	 loss=0.80283	 accu=0.665 	 auc=0.916
[2023-03-08 20:20:59,681][demo3.py][line:280][INFO] Epoch:[3/7]	 step:[50] 	 loss=0.80593	 accu=0.665 	 auc=0.908
[2023-03-08 20:20:59,768][demo3.py][line:280][INFO] Epoch:[3/8]	 step:[50] 	 loss=0.80067	 accu=0.677 	 auc=0.924
[2023-03-08 20:20:59,786][demo3.py][line:280][INFO] Epoch:[3/9]	 step:[50] 	 loss=0.80357	 accu=0.669 	 auc=0.920
[2023-03-08 20:20:59,880][demo3.py][line:280][INFO] Epoch:[3/10]	 step:[50] 	 loss=0.79982	 accu=0.670 	 auc=0.925
[2023-03-08 20:20:59,976][demo3.py][line:280][INFO] Epoch:[3/11]	 step:[50] 	 loss=0.80337	 accu=0.667 	 auc=0.907
[2023-03-08 20:21:00,074][demo3.py][line:280][INFO] Epoch:[3/12]	 step:[50] 	 loss=0.79280	 accu=0.688 	 auc=0.919
[2023-03-08 20:21:00,170][demo3.py][line:280][INFO] Epoch:[3/13]	 step:[50] 	 loss=0.79465	 accu=0.685 	 auc=0.909
[2023-03-08 20:21:00,196][demo3.py][line:280][INFO] Epoch:[3/14]	 step:[50] 	 loss=0.80073	 accu=0.675 	 auc=0.921
[2023-03-08 20:21:07,574][demo3.py][line:280][INFO] Epoch:[4/0]	 step:[50] 	 loss=0.79210	 accu=0.688 	 auc=0.909
[2023-03-08 20:21:07,669][demo3.py][line:280][INFO] Epoch:[4/1]	 step:[50] 	 loss=0.78481	 accu=0.693 	 auc=0.925
[2023-03-08 20:21:07,776][demo3.py][line:280][INFO] Epoch:[4/2]	 step:[50] 	 loss=0.79008	 accu=0.693 	 auc=0.916
[2023-03-08 20:21:07,878][demo3.py][line:280][INFO] Epoch:[4/3]	 step:[50] 	 loss=0.78953	 accu=0.699 	 auc=0.910
[2023-03-08 20:21:07,983][demo3.py][line:280][INFO] Epoch:[4/4]	 step:[50] 	 loss=0.79300	 accu=0.684 	 auc=0.912
[2023-03-08 20:21:08,091][demo3.py][line:280][INFO] Epoch:[4/5]	 step:[50] 	 loss=0.78632	 accu=0.701 	 auc=0.912
[2023-03-08 20:21:08,274][demo3.py][line:280][INFO] Epoch:[4/6]	 step:[50] 	 loss=0.79311	 accu=0.690 	 auc=0.912
[2023-03-08 20:21:08,296][demo3.py][line:280][INFO] Epoch:[4/7]	 step:[50] 	 loss=0.78678	 accu=0.694 	 auc=0.917
[2023-03-08 20:21:08,396][demo3.py][line:280][INFO] Epoch:[4/8]	 step:[50] 	 loss=0.78691	 accu=0.695 	 auc=0.911
[2023-03-08 20:21:08,494][demo3.py][line:280][INFO] Epoch:[4/9]	 step:[50] 	 loss=0.78344	 accu=0.704 	 auc=0.906
[2023-03-08 20:21:08,593][demo3.py][line:280][INFO] Epoch:[4/10]	 step:[50] 	 loss=0.78233	 accu=0.705 	 auc=0.909
[2023-03-08 20:21:08,694][demo3.py][line:280][INFO] Epoch:[4/11]	 step:[50] 	 loss=0.77936	 accu=0.714 	 auc=0.921
[2023-03-08 20:21:08,791][demo3.py][line:280][INFO] Epoch:[4/12]	 step:[50] 	 loss=0.78266	 accu=0.704 	 auc=0.920
[2023-03-08 20:21:08,889][demo3.py][line:280][INFO] Epoch:[4/13]	 step:[50] 	 loss=0.78866	 accu=0.694 	 auc=0.903
